,tourney_name,surface,winner_name,loser_name,score,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,result
1711,Wimbledon,Grass,Jannik Sinner,Daniel Elahi Galan,7-6(4) 6-4 6-3,12.0,1.0,48.0,41.0,28.0,12.0,3.0,79.0,58.0,18.0,1
1717,Wimbledon,Grass,Jannik Sinner,Roman Safiullin,6-4 3-6 6-2 6-2,14.0,2.0,48.0,43.0,22.0,8.0,7.0,65.0,39.0,23.0,1
1720,Wimbledon,Grass,Novak Djokovic,Jannik Sinner,6-3 6-4 7-6(4),11.0,0.0,65.0,49.0,28.0,8.0,3.0,54.0,41.0,20.0,0
1989,Canada Masters,Hard,Jannik Sinner,Alex De Minaur,6-4 6-1,5.0,3.0,26.0,19.0,15.0,1.0,1.0,28.0,13.0,10.0,1
1990,Canada Masters,Hard,Jannik Sinner,Tommy Paul,6-4 6-4,4.0,3.0,32.0,25.0,16.0,3.0,2.0,43.0,26.0,8.0,1
1993,Canada Masters,Hard,Jannik Sinner,Gael Monfils,6-4 4-6 6-3,5.0,3.0,44.0,36.0,21.0,19.0,5.0,51.0,41.0,14.0,1
1999,Canada Masters,Hard,Jannik Sinner,Andy Murray,W/O,,,,,,,,,,,1
2011,Canada Masters,Hard,Jannik Sinner,Matteo Berrettini,6-4 6-3,10.0,2.0,41.0,34.0,12.0,10.0,2.0,33.0,26.0,8.0,1
2071,Cincinnati Masters,Hard,Dusan Lajovic,Jannik Sinner,6-4 7-6(4),4.0,0.0,58.0,44.0,12.0,6.0,0.0,41.0,30.0,22.0,0
2161,Us Open,Hard,Jannik Sinner,Yannick Hanfmann,6-3 6-1 6-1,5.0,3.0,41.0,32.0,20.0,7.0,3.0,63.0,36.0,14.0,1
2217,Us Open,Hard,Jannik Sinner,Lorenzo Sonego,6-4 6-2 6-4,4.0,1.0,36.0,32.0,24.0,4.0,1.0,57.0,36.0,18.0,1
2245,Us Open,Hard,Jannik Sinner,Stan Wawrinka,6-3 2-6 6-4 6-2,12.0,5.0,73.0,53.0,23.0,8.0,4.0,53.0,32.0,29.0,1
2259,Us Open,Hard,Alexander Zverev,Jannik Sinner,6-4 3-6 6-2 4-6 6-3,16.0,6.0,113.0,79.0,24.0,12.0,7.0,86.0,59.0,37.0,0
2354,Beijing,Hard,Jannik Sinner,Daniil Medvedev,7-6(2) 7-6(2),3.0,0.0,51.0,42.0,17.0,6.0,4.0,57.0,43.0,11.0,1
2355,Beijing,Hard,Jannik Sinner,Carlos Alcaraz,7-6(4) 6-1,1.0,0.0,44.0,29.0,15.0,4.0,0.0,45.0,27.0,5.0,1
2358,Beijing,Hard,Jannik Sinner,Grigor Dimitrov,6-4 3-6 6-2,3.0,1.0,50.0,34.0,23.0,2.0,3.0,57.0,40.0,20.0,1
2364,Beijing,Hard,Jannik Sinner,Yoshihito Nishioka,6-2 6-0,8.0,1.0,21.0,19.0,11.0,0.0,1.0,33.0,13.0,8.0,1
2376,Beijing,Hard,Jannik Sinner,Daniel Evans,6-4 6-7(2) 6-3,11.0,2.0,55.0,37.0,28.0,2.0,2.0,50.0,32.0,29.0,1
2398,Shanghai Masters,Hard,Ben Shelton,Jannik Sinner,2-6 6-3 7-6(5),15.0,4.0,74.0,54.0,13.0,8.0,1.0,71.0,49.0,14.0,0
2412,Shanghai Masters,Hard,Jannik Sinner,Sebastian Baez,3-6 6-3 6-2,8.0,0.0,49.0,40.0,18.0,5.0,1.0,52.0,36.0,9.0,1
2440,Shanghai Masters,Hard,Jannik Sinner,Marcos Giron,7-6(7) 6-2,4.0,2.0,43.0,34.0,10.0,2.0,2.0,44.0,31.0,10.0,1
2597,Vienna,Hard,Jannik Sinner,Andrey Rublev,7-5 7-6(5),10.0,4.0,45.0,37.0,15.0,4.0,2.0,55.0,39.0,9.0,1
