,player_name,surface,cluster
24,Arthur Rinderknech,Clay,1
233,Arthur Rinderknech,Grass,0
392,Arthur Rinderknech,Hard,2
25,Aslan Karatsev,Clay,1
234,Aslan Karatsev,Grass,0
393,Aslan Karatsev,Hard,0
26,Attila Balazs,Clay,2
394,Attila Balazs,Hard,1
395,Beibit Zhukayev,Hard,2
27,Ben Shelton,Clay,1
235,Ben Shelton,Grass,0
396,Ben Shelton,Hard,2
28,Benjamin Bonzi,Clay,2
236,Benjamin Bonzi,Grass,2
397,Benjamin Bonzi,Hard,2
398,Benjamin Hassan,Hard,0
399,Benjamin Lock,Hard,1
29,Benoit Paire,Clay,0
400,Benoit Paire,Hard,1
30,Bernabe Zapata Miralles,Clay,2
237,Bernabe Zapata Miralles,Grass,2
401,Bernabe Zapata Miralles,Hard,1
402,Billy Harris,Hard,2
403,Bjorn Fratangelo,Hard,1
31,Borna Coric,Clay,1
238,Borna Coric,Grass,1
404,Borna Coric,Hard,2
32,Borna Gojo,Clay,1
239,Borna Gojo,Grass,0
405,Borna Gojo,Hard,2
33,Botic Van De Zandschulp,Clay,0
240,Botic Van De Zandschulp,Grass,1
406,Botic Van De Zandschulp,Hard,2
407,Bradley Klahn,Hard,1
408,Brandon Holt,Hard,1
34,Brandon Nakashima,Clay,1
241,Brandon Nakashima,Grass,2
409,Brandon Nakashima,Hard,2
410,Bu Yunchaokete,Hard,2
411,Calvin Hemery,Hard,0
35,Cameron Norrie,Clay,1
242,Cameron Norrie,Grass,2
412,Cameron Norrie,Hard,2
36,Camilo Ugo Carabelli,Clay,2
37,Carlos Alcaraz,Clay,1
243,Carlos Alcaraz,Grass,2
413,Carlos Alcaraz,Hard,2
38,Carlos Taberner,Clay,2
39,Casper Ruud,Clay,1
244,Casper Ruud,Grass,2
414,Casper Ruud,Hard,2
415,Cem Ilkel,Hard,0
40,Christopher Eubanks,Clay,1
245,Christopher Eubanks,Grass,0
416,Christopher Eubanks,Hard,2
41,Christopher Oconnell,Clay,1
246,Christopher Oconnell,Grass,2
417,Christopher Oconnell,Hard,2
42,Chun Hsin Tseng,Clay,0
418,Chun Hsin Tseng,Hard,1
419,Clement Chidekh,Hard,1
43,Constant Lestienne,Clay,0
247,Constant Lestienne,Grass,1
420,Constant Lestienne,Hard,1
44,Corentin Moutet,Clay,2
248,Corentin Moutet,Grass,2
421,Corentin Moutet,Hard,1
45,Cristian Garin,Clay,1
422,Cristian Garin,Hard,2
423,Dalibor Svrcina,Hard,1
46,Damir Dzumhur,Clay,2
424,Damir Dzumhur,Hard,2
425,Dane Sweeny,Hard,0
47,Daniel Altmaier,Clay,1
249,Daniel Altmaier,Grass,2
426,Daniel Altmaier,Hard,2
48,Daniel Elahi Galan,Clay,1
250,Daniel Elahi Galan,Grass,2
427,Daniel Elahi Galan,Hard,2
49,Daniel Evans,Clay,2
251,Daniel Evans,Grass,0
428,Daniel Evans,Hard,0
429,Daniel Michalski,Hard,1
50,Daniel Rincon,Clay,0
51,Daniil Medvedev,Clay,1
252,Daniil Medvedev,Grass,0
430,Daniil Medvedev,Hard,2
431,Darian King,Hard,1
52,David Goffin,Clay,0
253,David Goffin,Grass,2
432,David Goffin,Hard,2
53,Denis Kudla,Clay,2
433,Denis Kudla,Hard,0
54,Denis Shapovalov,Clay,0
254,Denis Shapovalov,Grass,0
434,Denis Shapovalov,Hard,0
435,Denis Yevseyev,Hard,0
55,Dennis Novak,Clay,1
255,Dennis Novak,Grass,2
56,Diego Schwartzman,Clay,2
256,Diego Schwartzman,Grass,2
436,Diego Schwartzman,Hard,1
57,Dimitar Kuzmanov,Clay,2
437,Dimitar Kuzmanov,Hard,0
58,Dino Prizmic,Clay,0
438,Dino Prizmic,Hard,2
59,Dominic Stricker,Clay,0
257,Dominic Stricker,Grass,0
439,Dominic Stricker,Hard,0
60,Dominic Thiem,Clay,1
258,Dominic Thiem,Grass,1
440,Dominic Thiem,Hard,0
259,Dominik Koepfer,Grass,2
441,Dominik Koepfer,Hard,0
61,Dragos Nicolae Madaras,Clay,0
62,Duje Ajdukovic,Clay,0
442,Duje Ajdukovic,Hard,2
63,Dusan Lajovic,Clay,2
260,Dusan Lajovic,Grass,2
443,Dusan Lajovic,Hard,2
64,Eduardo Nava,Clay,0
444,Egor Gerasimov,Hard,2
65,Elias Ymer,Clay,0
445,Elias Ymer,Hard,0
261,Eliot Spizzirri,Grass,1
66,Elliot Benchetrit,Clay,0
67,Emil Ruusuvuori,Clay,2
262,Emil Ruusuvuori,Grass,0
446,Emil Ruusuvuori,Hard,2
68,Emilio Gomez,Clay,0
447,Emilio Gomez,Hard,1
69,Emilio Nava,Clay,1
448,Emilio Nava,Hard,2
263,Enzo Couacaud,Grass,0
449,Enzo Couacaud,Hard,2
450,Ernesto Escobedo,Hard,2
264,Ethan Quinn,Grass,2
451,Ethan Quinn,Hard,2
70,Fabian Marozsan,Clay,1
265,Fabian Marozsan,Grass,1
452,Fabian Marozsan,Hard,2
71,Fabio Fognini,Clay,0
453,Fabio Fognini,Hard,1
72,Facundo Bagnis,Clay,1
454,Facundo Bagnis,Hard,1
73,Facundo Diaz Acosta,Clay,0
455,Facundo Diaz Acosta,Hard,1
74,Federico Coria,Clay,2
266,Federico Coria,Grass,2
456,Federico Coria,Hard,1
75,Federico Delbonis,Clay,0
76,Feliciano Lopez,Clay,0
267,Feliciano Lopez,Grass,0
457,Feliciano Lopez,Hard,0
458,Felipe Meligeni Alves,Hard,2
77,Felix Auger Aliassime,Clay,1
268,Felix Auger Aliassime,Grass,0
459,Felix Auger Aliassime,Hard,2
78,Fernando Verdasco,Clay,0
460,Fernando Verdasco,Hard,1
79,Filip Krajinovic,Clay,2
461,Filip Krajinovic,Hard,0
80,Filip Misolic,Clay,2
462,Filip Misolic,Hard,0
81,Flavio Cobolli,Clay,0
463,Flavio Cobolli,Hard,0
82,Frances Tiafoe,Clay,1
269,Frances Tiafoe,Grass,0
464,Frances Tiafoe,Hard,2
83,Francesco Passaro,Clay,1
465,Francesco Passaro,Hard,1
84,Francisco Cerundolo,Clay,2
270,Francisco Cerundolo,Grass,2
466,Francisco Cerundolo,Hard,1
271,Gabriel Diallo,Grass,1
467,Gabriel Diallo,Hard,2
85,Gael Monfils,Clay,2
468,Gael Monfils,Hard,0
86,Genaro Alberto Olivieri,Clay,2
469,Geoffrey Blancaneaux,Hard,0
272,George Loffhagen,Grass,1
87,Gijs Brouwer,Clay,1
273,Gijs Brouwer,Grass,2
470,Gijs Brouwer,Hard,2
88,Giovanni Mpetshi Perricard,Clay,0
274,Giovanni Mpetshi Perricard,Grass,0
471,Giovanni Mpetshi Perricard,Hard,2
89,Giulio Zeppieri,Clay,1
472,Gonzalo Lama,Hard,1
90,Gregoire Barrere,Clay,1
275,Gregoire Barrere,Grass,2
473,Gregoire Barrere,Hard,0
91,Grigor Dimitrov,Clay,1
276,Grigor Dimitrov,Grass,0
474,Grigor Dimitrov,Hard,2
92,Guido Andreozzi,Clay,0
