"date","tournament","surface","five_set","player_A_name","player_B_name","player_A_elo_before","player_B_elo_before","player_A_win","elo_difference","surface_cluster_A","surface_cluster_B","predict_proba_R","predict_R"
20240722,"Atlanta","Hard",FALSE,"Mattia Bellucci","Aleksandar Vukic",1467.18658956906,1542.60255255073,1,-75.4159629816681,3,1,0.492788678737457,0
20220926,"Seoul","Hard",FALSE,"Taro Daniel","Yoshihito Nishioka",1465.08533201589,1540.42658064369,0,-75.3412486277978,2,1,0.317598228341229,0
20230703,"Wimbledon","Grass",TRUE,"Lorenzo Sonego","Matteo Berrettini",1579.4237875445,1654.7571092629,0,-75.3333217184054,1,1,0.422893539877963,0
20240610,"s Hertogenbosch","Grass",FALSE,"Rinky Hijikata","Alexei Popyrin",1477.7543938944,1553.08576832082,0,-75.3313744264158,1,2,0.573112679866235,1
20221024,"Vienna","Hard",FALSE,"Oscar Otte","Daniel Evans",1489.69967938141,1564.95748706147,0,-75.2578076800644,1,3,0.515776373681271,1
20220131,"Montpellier","Hard",FALSE,"Mikael Ymer","Gael Monfils",1499.2981792045,1574.51539099809,1,-75.217211793584,1,1,0.401186078886925,0
20240701,"Wimbledon","Grass",TRUE,"Dominic Stricker","Arthur Fils",1522.0348118306,1597.13175826706,0,-75.0969464364573,3,1,0.0499044039845581,0
20230807,"Canada Masters","Hard",FALSE,"Tomas Martin Etcheverry","Sebastian Korda",1548.21986248398,1623.20251092501,0,-74.982648441035,1,1,0.401430830742857,0
20230703,"Wimbledon","Grass",TRUE,"Matteo Berrettini","Alexander Zverev",1636.57217732227,1711.48235824739,1,-74.9101809251194,1,1,0.423644994830764,0
20230731,"Los Cabos","Hard",FALSE,"Nicolas Jarry","Stefanos Tsitsipas",1679.68147637132,1754.57450751908,0,-74.8930311477577,1,1,0.401524353640836,0
20220620,"Mallorca","Grass",FALSE,"Federico Delbonis","Antoine Bellier",1446.09934876974,1520.92395080782,0,-74.824602038082,2,0,0.133697863981832,0
20220321,"Miami Masters","Hard",FALSE,"Francisco Cerundolo","Jannik Sinner",1563.90986280988,1638.73305878969,1,-74.823195979809,1,1,0.401597237260507,0
20240617,"Queen's Club","Grass",FALSE,"Rinky Hijikata","Frances Tiafoe",1482.63011315626,1557.39086044904,1,-74.7607472927743,1,1,0.478127928913633,0
20240715,"Gstaad","Clay",FALSE,"Juan Pablo Varillas","Dominic Thiem",1433.61122470233,1508.26625560873,1,-74.6550309063964,2,2,0.505947064214198,1
20220606,"s Hertogenbosch","Grass",FALSE,"Emil Ruusuvuori","Botic Van De Zandschulp",1508.31386241388,1582.8871396648,1,-74.5732772509157,1,1,0.47833108608804,0
