,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,result,player,rate_1stWon,bpSaved_rate,return_points_won,return_rate,return_pts_won_pct,serve_won_pct
35,2023-8998,Adelaide 2,Hard,32,A,20230109,276,207733,0.0,0,Jack Draper,L,193.0,GBR,21.0,132283,0.0,0,Lorenzo Sonego,R,191.0,ITA,27.6,6-4 6-2,3,R32,82.0,2.0,1.0,44.0,27.0,21.0,12.0,9.0,3.0,4.0,2.0,1.0,50.0,26.0,14.0,11.0,9.0,4.0,8.0,40.0,1010.0,44.0,950.0,1,Jack Draper,0.7777777777777778,0.75,25.0,0.5,50.0,77.77777777777779
36,2023-580,Australian Open,Hard,128,G,20230116,107,126207,16.0,0,Frances Tiafoe,R,188.0,USA,24.9,127157,0.0,0,Daniel Altmaier,R,188.0,GER,24.3,6-3 6-3 6-7(5) 7-6(6),5,R128,199.0,24.0,3.0,129.0,81.0,68.0,31.0,21.0,7.0,8.0,17.0,2.0,154.0,93.0,65.0,33.0,21.0,12.0,16.0,17.0,2260.0,92.0,584.0,1,Frances Tiafoe,0.8395061728395061,0.875,56.0,0.36363636363636365,36.36363636363637,83.9506172839506
37,2023-580,Australian Open,Hard,128,G,20230116,115,106421,7.0,0,Daniil Medvedev,R,198.0,RUS,26.9,106218,0.0,0,Marcos Giron,R,180.0,USA,29.4,6-0 6-1 6-2,5,R128,96.0,9.0,4.0,73.0,51.0,40.0,13.0,11.0,6.0,6.0,1.0,0.0,69.0,46.0,21.0,10.0,10.0,6.0,13.0,8.0,3860.0,56.0,841.0,1,Daniil Medvedev,0.7843137254901961,1.0,38.0,0.5507246376811594,55.072463768115945,78.43137254901961
38,2023-580,Australian Open,Hard,128,G,20230116,116,126774,3.0,0,Stefanos Tsitsipas,R,193.0,GRE,24.4,111460,0.0,0,Quentin Halys,R,191.0,FRA,26.2,6-3 6-4 7-6(6),5,R128,120.0,17.0,6.0,95.0,61.0,51.0,17.0,16.0,7.0,9.0,9.0,6.0,90.0,57.0,46.0,10.0,15.0,3.0,7.0,4.0,5715.0,61.0,800.0,1,Stefanos Tsitsipas,0.8360655737704918,0.7777777777777778,34.0,0.37777777777777777,37.77777777777778,83.60655737704919
39,2023-580,Australian Open,Hard,128,G,20230116,123,206173,15.0,0,Jannik Sinner,R,191.0,ITA,21.4,106378,0.0,0,Kyle Edmund,R,188.0,GBR,28.0,6-4 6-0 6-2,5,R128,116.0,6.0,2.0,82.0,54.0,44.0,12.0,12.0,5.0,6.0,2.0,2.0,81.0,45.0,24.0,13.0,12.0,3.0,10.0,16.0,2375.0,581.0,52.0,1,Jannik Sinner,0.8148148148148148,0.8333333333333334,44.0,0.5432098765432098,54.32098765432099,81.48148148148148
40,2023-580,Australian Open,Hard,128,G,20230116,131,200000,6.0,0,Felix Auger Aliassime,R,193.0,CAN,22.4,105577,0.0,0,Vasek Pospisil,R,193.0,CAN,32.5,1-6 7-6(4) 7-6(3) 6-3,5,R128,238.0,13.0,7.0,130.0,78.0,59.0,26.0,20.0,1.0,5.0,14.0,7.0,147.0,95.0,66.0,26.0,20.0,9.0,12.0,7.0,3895.0,99.0,560.0,1,Felix Auger Aliassime,0.7564102564102564,0.2,55.0,0.3741496598639456,37.41496598639456,75.64102564102564
41,2023-580,Australian Open,Hard,128,G,20230116,132,126094,5.0,0,Andrey Rublev,R,188.0,RUS,25.2,106233,0.0,WC,Dominic Thiem,R,185.0,AUT,29.3,6-3 6-4 6-2,5,R128,130.0,7.0,3.0,88.0,59.0,48.0,13.0,14.0,2.0,2.0,4.0,0.0,88.0,52.0,30.0,21.0,13.0,12.0,16.0,6.0,3930.0,98.0,561.0,1,Andrey Rublev,0.8135593220338984,1.0,37.0,0.42045454545454547,42.04545454545455,81.35593220338984
42,2023-580,Australian Open,Hard,128,G,20230116,137,200005,0.0,0,Ugo Humbert,L,188.0,FRA,24.5,104755,0.0,0,Richard Gasquet,R,183.0,FRA,36.5,6-3 6-4 6-3,5,R128,118.0,12.0,3.0,84.0,53.0,42.0,17.0,14.0,3.0,4.0,2.0,1.0,80.0,48.0,29.0,15.0,14.0,8.0,13.0,106.0,523.0,42.0,990.0,1,Ugo Humbert,0.7924528301886793,0.75,36.0,0.45,45.0,79.24528301886792
43,2023-580,Australian Open,Hard,128,G,20230116,139,208029,9.0,0,Holger Rune,R,188.0,DEN,19.7,105936,0.0,0,Filip Krajinovic,R,185.0,SRB,30.8,6-2 6-3 6-4,5,R128,123.0,11.0,4.0,83.0,56.0,40.0,14.0,14.0,6.0,8.0,4.0,3.0,94.0,62.0,40.0,10.0,13.0,6.0,13.0,10.0,2876.0,54.0,845.0,1,Holger Rune,0.7142857142857143,0.75,44.0,0.46808510638297873,46.808510638297875,71.42857142857143
44,2023-580,Australian Open,Hard,128,G,20230116,143,200282,22.0,0,Alex De Minaur,R,183.0,AUS,23.9,200318,0.0,Q,Yu Hsiou Hsu,R,178.0,TPE,23.7,6-2 6-2 6-3,5,R128,121.0,8.0,1.0,63.0,35.0,30.0,20.0,13.0,1.0,1.0,3.0,2.0,102.0,74.0,43.0,10.0,12.0,8.0,14.0,24.0,1710.0,209.0,265.0,1,Alex De Minaur,0.8571428571428571,1.0,49.0,0.4803921568627451,48.03921568627451,85.71428571428571
